sent,words
इस किताब में “नई उत्पत्ति ” लिखने के बजाय लूका ने“ आने वाले युग ” जैसे शब्दों का इस्तेमाल किया है । — लूका 18: 28 - 30,"['इस', 'किताब', 'में', '“नई', 'उत्पत्ति', '”', 'लिखने', 'के', 'बजाय', 'लूका', 'ने“', 'आने', 'वाले', 'युग', '”', 'जैसे', 'शब्दों', 'का', 'इस्तेमाल', 'किया', 'है', '।', '—', 'लूका', '18:', '28', '-', '30']"
केंद्रीय मंत्री और पार्टी के वरिष्ठ नेता प्रकाश जावड़ेकर ने कहा कि विपक्ष की एकता ने हमें हरा दिया है।,"['केंद्रीय', 'मंत्री', 'और', 'पार्टी', 'के', 'वरिष्ठ', 'नेता', 'प्रकाश', 'जावड़ेकर', 'ने', 'कहा', 'कि', 'विपक्ष', 'की', 'एकता', 'ने', 'हमें', 'हरा', 'दिया', 'है।']"
उसके बाद रूपा अपने कमरे में सोने चली गयी।,"['उसके', 'बाद', 'रूपा', 'अपने', 'कमरे', 'में', 'सोने', 'चली', 'गयी।']"
पुलिस ने सीसीटीवी फुटेज के आधार पर चोरों की तलाश शुरू कर दी है।,"['पुलिस', 'ने', 'सीसीटीवी', 'फुटेज', 'के', 'आधार', 'पर', 'चोरों', 'की', 'तलाश', 'शुरू', 'कर', 'दी', 'है।']"
"इसके साथ ही सामाजिक, धार्मिक, राजनीतिक और सांस्कृतिक आयोजनों पर रोक जारी रहेगी।","['इसके', 'साथ', 'ही', 'सामाजिक,', 'धार्मिक,', 'राजनीतिक', 'और', 'सांस्कृतिक', 'आयोजनों', 'पर', 'रोक', 'जारी', 'रहेगी।']"
अब्राहम को वादा किए देश में कितनी ज़मीन मिली?,"['अब्राहम', 'को', 'वादा', 'किए', 'देश', 'में', 'कितनी', 'ज़मीन', 'मिली?']"
पुलिस ने शव को कब्जे में लेकर उनकी पहचान के लिए खोजबीन शुरू कर दी है,"['पुलिस', 'ने', 'शव', 'को', 'कब्जे', 'में', 'लेकर', 'उनकी', 'पहचान', 'के', 'लिए', 'खोजबीन', 'शुरू', 'कर', 'दी', 'है']"
शिकायत के बाद पुलिस ने मामले की गंभीरता को देखते हुए जांच प्रारंभ की।,"['शिकायत', 'के', 'बाद', 'पुलिस', 'ने', 'मामले', 'की', 'गंभीरता', 'को', 'देखते', 'हुए', 'जांच', 'प्रारंभ', 'की।']"
इन 12 मैचों में रबादा 25 विकेट चटका चुके हैं।,"['इन', '12', 'मैचों', 'में', 'रबादा', '25', 'विकेट', 'चटका', 'चुके', 'हैं।']"
एक विधवा या विधुर की मदद करते वक्‍त उस पर सलाहों की बौछार मत कीजिए ।,"['एक', 'विधवा', 'या', 'विधुर', 'की', 'मदद', 'करते', 'वक्\u200dत', 'उस', 'पर', 'सलाहों', 'की', 'बौछार', 'मत', 'कीजिए', '।']"
"रिंकू शर्मा हत्याकांड में चार और आरोपी गिरफ्तार, पहले भी हो चुकी है पांच लोगों की गिरफ्तारी","['रिंकू', 'शर्मा', 'हत्याकांड', 'में', 'चार', 'और', 'आरोपी', 'गिरफ्तार,', 'पहले', 'भी', 'हो', 'चुकी', 'है', 'पांच', 'लोगों', 'की', 'गिरफ्तारी']"
भारतीय रक्षा अनुसंधान संगठन इसरो कब लॉन्च करेगा रीसैट-2बीआर1 सैटेलाइट?,"['भारतीय', 'रक्षा', 'अनुसंधान', 'संगठन', 'इसरो', 'कब', 'लॉन्च', 'करेगा', 'रीसैट-2बीआर1', 'सैटेलाइट?']"
” पुलिस ने हत्या का केस दर्ज कर लिया है।,"['”', 'पुलिस', 'ने', 'हत्या', 'का', 'केस', 'दर्ज', 'कर', 'लिया', 'है।']"
एक तरफ उत्साह है तो दूसरी तरफ नाराजगी।,"['एक', 'तरफ', 'उत्साह', 'है', 'तो', 'दूसरी', 'तरफ', 'नाराजगी।']"
विराट कोहली के बारे में आपका क्या कहना है?,"['विराट', 'कोहली', 'के', 'बारे', 'में', 'आपका', 'क्या', 'कहना', 'है?']"
इस वजह से दोनों देशों के बीच रिश्तों में तल्खी भी बढ़ी है।,"['इस', 'वजह', 'से', 'दोनों', 'देशों', 'के', 'बीच', 'रिश्तों', 'में', 'तल्खी', 'भी', 'बढ़ी', 'है।']"
मौज - मस्ती के बारे में अपना नज़रिया जानने के लिए हम खुद से क्या पूछ सकते हैं?,"['मौज', '-', 'मस्ती', 'के', 'बारे', 'में', 'अपना', 'नज़रिया', 'जानने', 'के', 'लिए', 'हम', 'खुद', 'से', 'क्या', 'पूछ', 'सकते', 'हैं?']"
फिलीपींस को सत्रह मेगाडेवर्स देशों के साथ-साथ वैश्विक जैव विविधता हॉटस्पॉट में से एक माना जाता है।,"['फिलीपींस', 'को', 'सत्रह', 'मेगाडेवर्स', 'देशों', 'के', 'साथ-साथ', 'वैश्विक', 'जैव', 'विविधता', 'हॉटस्पॉट', 'में', 'से', 'एक', 'माना', 'जाता', 'है।']"
बहरहाल पुलिस ने अभी तक हमलावर की पहचान उजागर नहीं की है।,"['बहरहाल', 'पुलिस', 'ने', 'अभी', 'तक', 'हमलावर', 'की', 'पहचान', 'उजागर', 'नहीं', 'की', 'है।']"
कांग्रेस वर्किंग कमेटी ने भी किया राहुल गांधी का इस्तीफा खारिज,"['कांग्रेस', 'वर्किंग', 'कमेटी', 'ने', 'भी', 'किया', 'राहुल', 'गांधी', 'का', 'इस्तीफा', 'खारिज']"
"श्री अकाल तख्त, दमदमा साहिब, केशगढ़ साहिब, पटना साहिब और हज़ूर साहिब के बीच रेल और हवाई connectivity पर बल दिया गया है।","['श्री', 'अकाल', 'तख्त,', 'दमदमा', 'साहिब,', 'केशगढ़', 'साहिब,', 'पटना', 'साहिब', 'और', 'हज़ूर', 'साहिब', 'के', 'बीच', 'रेल', 'और', 'हवाई', 'connectivity', 'पर', 'बल', 'दिया', 'गया', 'है।']"
"कैथी कहती है: “इससे खासकर हमारा हौसला बढ़ा है क्योंकि शांति, परमेश्‍वर की आत्मा का ही एक फल है । ” — गलतियों 5: 22, 23","['कैथी', 'कहती', 'है:', '“इससे', 'खासकर', 'हमारा', 'हौसला', 'बढ़ा', 'है', 'क्योंकि', 'शांति,', 'परमेश्\u200dवर', 'की', 'आत्मा', 'का', 'ही', 'एक', 'फल', 'है', '।', '”', '—', 'गलतियों', '5:', '22,', '23']"
पुलिस ने इस मामले में कोई भी कार्रवाई नहीं की है।,"['पुलिस', 'ने', 'इस', 'मामले', 'में', 'कोई', 'भी', 'कार्रवाई', 'नहीं', 'की', 'है।']"
अधिकतर मामलों में यह उसी समय होता है।,"['अधिकतर', 'मामलों', 'में', 'यह', 'उसी', 'समय', 'होता', 'है।']"
पुलिस ने शव को कब्जे में लेकर कार्रवाई शुरू,"['पुलिस', 'ने', 'शव', 'को', 'कब्जे', 'में', 'लेकर', 'कार्रवाई', 'शुरू']"
"रोड्स ने कहा, ‘‘भारत के पास अपार अनुभव है।","['रोड्स', 'ने', 'कहा,', '‘‘भारत', 'के', 'पास', 'अपार', 'अनुभव', 'है।']"
वहीं के दो लड़कों ने घायलावस्था में उसे उपचार के लिए सिविल अस्पताल पहुंचाया।,"['वहीं', 'के', 'दो', 'लड़कों', 'ने', 'घायलावस्था', 'में', 'उसे', 'उपचार', 'के', 'लिए', 'सिविल', 'अस्पताल', 'पहुंचाया।']"
"दूसरी तरफ, “बुरे मनुष्य को अन्त में कोई फल न मिलेगा । ”","['दूसरी', 'तरफ,', '“बुरे', 'मनुष्य', 'को', 'अन्त', 'में', 'कोई', 'फल', 'न', 'मिलेगा', '।', '”']"
उन्होंने अपनी प्रारंभिक शिक्षा भी वहीं से ही प्राप्त की थी।,"['उन्होंने', 'अपनी', 'प्रारंभिक', 'शिक्षा', 'भी', 'वहीं', 'से', 'ही', 'प्राप्त', 'की', 'थी।']"
"कल से, भारत में कोविड-19 से संक्रमित 2,715 रोगियों का उपचार किया जा चुका है।","['कल', 'से,', 'भारत', 'में', 'कोविड-19', 'से', 'संक्रमित', '2,715', 'रोगियों', 'का', 'उपचार', 'किया', 'जा', 'चुका', 'है।']"
वहां पर धारा 144 लागू कर दी गई।,"['वहां', 'पर', 'धारा', '144', 'लागू', 'कर', 'दी', 'गई।']"
इस हमले के पीछे का कारण जानने की अभी कोशिश की जा रही है।,"['इस', 'हमले', 'के', 'पीछे', 'का', 'कारण', 'जानने', 'की', 'अभी', 'कोशिश', 'की', 'जा', 'रही', 'है।']"
( ख) हम परमेश्‍वर के लिए प्यार कैसे बढ़ा सकते हैं?,"['(', 'ख)', 'हम', 'परमेश्\u200dवर', 'के', 'लिए', 'प्यार', 'कैसे', 'बढ़ा', 'सकते', 'हैं?']"
धरना दे रहे किसानों ने कहा कि प्रशासन व सरकार के खिलाफ मांगे पूरी,"['धरना', 'दे', 'रहे', 'किसानों', 'ने', 'कहा', 'कि', 'प्रशासन', 'व', 'सरकार', 'के', 'खिलाफ', 'मांगे', 'पूरी']"
उन्होंने कहा कि प्रत्येक व्यक्ति को साल में एक बार स्वेच्छा से रक्तदान जरूर करना चाहिए।,"['उन्होंने', 'कहा', 'कि', 'प्रत्येक', 'व्यक्ति', 'को', 'साल', 'में', 'एक', 'बार', 'स्वेच्छा', 'से', 'रक्तदान', 'जरूर', 'करना', 'चाहिए।']"
उन्होंने अपने करियर की शुरूआत टीवी पर विज्ञापन फिल्मों से की।,"['उन्होंने', 'अपने', 'करियर', 'की', 'शुरूआत', 'टीवी', 'पर', 'विज्ञापन', 'फिल्मों', 'से', 'की।']"
आप अपने जीवन को और बेहतर बनाने के लिए अग्रसर रहेंगे| ऑफिस का काम रोज की तुलना में अच्छे से होगा।,"['आप', 'अपने', 'जीवन', 'को', 'और', 'बेहतर', 'बनाने', 'के', 'लिए', 'अग्रसर', 'रहेंगे|', 'ऑफिस', 'का', 'काम', 'रोज', 'की', 'तुलना', 'में', 'अच्छे', 'से', 'होगा।']"
’’ रक्षा मंत्रालय ने एक बयान में कहा कि वार्षिक रक्षा वार्ता के दौरान दोनों मंत्रियों ने द्विपक्षीय रक्षा सहयोग की व्यापक समीक्षा की।,"['’’', 'रक्षा', 'मंत्रालय', 'ने', 'एक', 'बयान', 'में', 'कहा', 'कि', 'वार्षिक', 'रक्षा', 'वार्ता', 'के', 'दौरान', 'दोनों', 'मंत्रियों', 'ने', 'द्विपक्षीय', 'रक्षा', 'सहयोग', 'की', 'व्यापक', 'समीक्षा', 'की।']"
मुझे लगता है कि ये कभी पता नहीं चलेगा,"['मुझे', 'लगता', 'है', 'कि', 'ये', 'कभी', 'पता', 'नहीं', 'चलेगा']"
जन औषधि केंद्रों ने जम्मू कश्मीर और लद्दाख क्षेत्र में ऐसे 1,"['जन', 'औषधि', 'केंद्रों', 'ने', 'जम्मू', 'कश्मीर', 'और', 'लद्दाख', 'क्षेत्र', 'में', 'ऐसे', '1']"
"मोदी का दिया विकास का नारा लोगों को भा गया है क्योंकि इससे यह उम्मीद जगी है कि भले ही गरीबी दूर न हो पाए, लेकिन कम जरूर होगी।","['मोदी', 'का', 'दिया', 'विकास', 'का', 'नारा', 'लोगों', 'को', 'भा', 'गया', 'है', 'क्योंकि', 'इससे', 'यह', 'उम्मीद', 'जगी', 'है', 'कि', 'भले', 'ही', 'गरीबी', 'दूर', 'न', 'हो', 'पाए,', 'लेकिन', 'कम', 'जरूर', 'होगी।']"
सड़क हादसे में छात्रा की मौत के बाद छात्रों का उत्पात,"['सड़क', 'हादसे', 'में', 'छात्रा', 'की', 'मौत', 'के', 'बाद', 'छात्रों', 'का', 'उत्पात']"
इस दिन नागदेव की पूजा की जाती है।,"['इस', 'दिन', 'नागदेव', 'की', 'पूजा', 'की', 'जाती', 'है।']"
पुलिस को घटनास्थल से कोई भी गोली का खोल बरामद नहीं हुआ है।,"['पुलिस', 'को', 'घटनास्थल', 'से', 'कोई', 'भी', 'गोली', 'का', 'खोल', 'बरामद', 'नहीं', 'हुआ', 'है।']"
एयरसेल-मैक्सिस केस: चिदंबरम की गिरफ्तारी पर कोर्ट ने लगाई अगली सुनवाई तक रोक,"['एयरसेल-मैक्सिस', 'केस:', 'चिदंबरम', 'की', 'गिरफ्तारी', 'पर', 'कोर्ट', 'ने', 'लगाई', 'अगली', 'सुनवाई', 'तक', 'रोक']"
उन्होंने बताया कि मामले की छानबीन की जा रही है तथा जल्द ही दोषियों का पता लगाकर उन्हें गिरफ्तार किया जाएगा।,"['उन्होंने', 'बताया', 'कि', 'मामले', 'की', 'छानबीन', 'की', 'जा', 'रही', 'है', 'तथा', 'जल्द', 'ही', 'दोषियों', 'का', 'पता', 'लगाकर', 'उन्हें', 'गिरफ्तार', 'किया', 'जाएगा।']"
5: 20 — आकाश के तारों ने कैसे बाराक की तरफ से लड़ाई की?,"['5:', '20', '—', 'आकाश', 'के', 'तारों', 'ने', 'कैसे', 'बाराक', 'की', 'तरफ', 'से', 'लड़ाई', 'की?']"
पुलिस और लोगों की भी जांच कर रही है।,"['पुलिस', 'और', 'लोगों', 'की', 'भी', 'जांच', 'कर', 'रही', 'है।']"
"क्या अमरीका, फ्रांस या संयुक्‍त राष्ट्र के १८५ सदस्य - राष्ट्रों में से किसी भी राष्ट्र के हर नागरिक को उसके जन्मसिद्ध अधिकार वाकई मिले हैं?","['क्या', 'अमरीका,', 'फ्रांस', 'या', 'संयुक्\u200dत', 'राष्ट्र', 'के', '१८५', 'सदस्य', '-', 'राष्ट्रों', 'में', 'से', 'किसी', 'भी', 'राष्ट्र', 'के', 'हर', 'नागरिक', 'को', 'उसके', 'जन्मसिद्ध', 'अधिकार', 'वाकई', 'मिले', 'हैं?']"
उनकी मिसाल से हम देख सकते हैं कि आज भी यहोवा के सेवकों को क्यों विनम्रता का गुण बढ़ाना चाहिए और विनम्र होना चाहिए ।,"['उनकी', 'मिसाल', 'से', 'हम', 'देख', 'सकते', 'हैं', 'कि', 'आज', 'भी', 'यहोवा', 'के', 'सेवकों', 'को', 'क्यों', 'विनम्रता', 'का', 'गुण', 'बढ़ाना', 'चाहिए', 'और', 'विनम्र', 'होना', 'चाहिए', '।']"
यह संगति केवल भगवान की कृपा से ही मिल सकती है।,"['यह', 'संगति', 'केवल', 'भगवान', 'की', 'कृपा', 'से', 'ही', 'मिल', 'सकती', 'है।']"
सभी को लोकबंधु अस्पताल में भर्ती कराया गया है।,"['सभी', 'को', 'लोकबंधु', 'अस्पताल', 'में', 'भर्ती', 'कराया', 'गया', 'है।']"
"जल में चीनी, घी औऱ दूध जरूर मिलाएं।","['जल', 'में', 'चीनी,', 'घी', 'औऱ', 'दूध', 'जरूर', 'मिलाएं।']"
"फोन में दी गई 4,000एमएएच की बैटरी इसकी मुख्य यूएसबी है और लंबा बैकअप देने में सक्षम है।","['फोन', 'में', 'दी', 'गई', '4,000एमएएच', 'की', 'बैटरी', 'इसकी', 'मुख्य', 'यूएसबी', 'है', 'और', 'लंबा', 'बैकअप', 'देने', 'में', 'सक्षम', 'है।']"
हमारा सिरजनहार यही करने का वादा करता है ।,"['हमारा', 'सिरजनहार', 'यही', 'करने', 'का', 'वादा', 'करता', 'है', '।']"
"हालाँकि उसका अच्छे - से इलाज करवाया गया, मगर धीरे - धीरे उसकी हालत बिगड़ती गयी ।","['हालाँकि', 'उसका', 'अच्छे', '-', 'से', 'इलाज', 'करवाया', 'गया,', 'मगर', 'धीरे', '-', 'धीरे', 'उसकी', 'हालत', 'बिगड़ती', 'गयी', '।']"
“ महिमा ” * शब्द सुनते ही आपके मन में सबसे पहले क्या बात आती है?,"['“', 'महिमा', '”', '*', 'शब्द', 'सुनते', 'ही', 'आपके', 'मन', 'में', 'सबसे', 'पहले', 'क्या', 'बात', 'आती', 'है?']"
इसके लिए अधिक सतर्क रहने की जरूरत है।,"['इसके', 'लिए', 'अधिक', 'सतर्क', 'रहने', 'की', 'जरूरत', 'है।']"
अब अदालत 26 मार्च को मामले में सुनवाई करेगी।,"['अब', 'अदालत', '26', 'मार्च', 'को', 'मामले', 'में', 'सुनवाई', 'करेगी।']"
वे सचिन और राहुल के साथ खेलें और उनकी छाया में रह गए।,"['वे', 'सचिन', 'और', 'राहुल', 'के', 'साथ', 'खेलें', 'और', 'उनकी', 'छाया', 'में', 'रह', 'गए।']"
"int देखिए, जहाँ कई भाषाओं में हेपेटाइटिस के बारे में जानकारी दी गयी है ।","['int', 'देखिए,', 'जहाँ', 'कई', 'भाषाओं', 'में', 'हेपेटाइटिस', 'के', 'बारे', 'में', 'जानकारी', 'दी', 'गयी', 'है', '।']"
"उन्होंने बुनकरों, शिल्पियों, हस्तशिल्पियों आदि को समर्थन देने के लिए यूपीआईडी के प्रयासों की सराहना की।","['उन्होंने', 'बुनकरों,', 'शिल्पियों,', 'हस्तशिल्पियों', 'आदि', 'को', 'समर्थन', 'देने', 'के', 'लिए', 'यूपीआईडी', 'के', 'प्रयासों', 'की', 'सराहना', 'की।']"
पुलिस ने सुरक्षा के पुख्ता इंतजाम किये हैं।,"['पुलिस', 'ने', 'सुरक्षा', 'के', 'पुख्ता', 'इंतजाम', 'किये', 'हैं।']"
कंपनी ने इस बाबत जानकारी के लिए ईमेल के जरिये भेजी गई प्रश्नावली का कोई जवाब नहीं दिया।,"['कंपनी', 'ने', 'इस', 'बाबत', 'जानकारी', 'के', 'लिए', 'ईमेल', 'के', 'जरिये', 'भेजी', 'गई', 'प्रश्नावली', 'का', 'कोई', 'जवाब', 'नहीं', 'दिया।']"
घायल अवस्था में बच्ची को अस्पताल ले जाया गया जहां उसकी हालत स्थिर बनीं हुई है।,"['घायल', 'अवस्था', 'में', 'बच्ची', 'को', 'अस्पताल', 'ले', 'जाया', 'गया', 'जहां', 'उसकी', 'हालत', 'स्थिर', 'बनीं', 'हुई', 'है।']"
"अगर वह भविष्यवक्‍ता अपनी मर्यादा में रहता, तो वह यहोवा से पूछ सकता था कि क्या उसकी दी हिदायतें बदल गयी हैं ।","['अगर', 'वह', 'भविष्यवक्\u200dता', 'अपनी', 'मर्यादा', 'में', 'रहता,', 'तो', 'वह', 'यहोवा', 'से', 'पूछ', 'सकता', 'था', 'कि', 'क्या', 'उसकी', 'दी', 'हिदायतें', 'बदल', 'गयी', 'हैं', '।']"
बैठक में किसी प्रकार की नारेबाजी नही हुई थी।,"['बैठक', 'में', 'किसी', 'प्रकार', 'की', 'नारेबाजी', 'नही', 'हुई', 'थी।']"
“ एकजुट होकर काम करना पति - पत्नी के लिए बेहद ज़रूरी है ।,"['“', 'एकजुट', 'होकर', 'काम', 'करना', 'पति', '-', 'पत्नी', 'के', 'लिए', 'बेहद', 'ज़रूरी', 'है', '।']"
मैं दिनभर घर में रहते हुए उजड्ड हो रही थी,"['मैं', 'दिनभर', 'घर', 'में', 'रहते', 'हुए', 'उजड्ड', 'हो', 'रही', 'थी']"
इस वीडियो को सोशल मीडिया पर कई लाख बार देखा जा चुका है,"['इस', 'वीडियो', 'को', 'सोशल', 'मीडिया', 'पर', 'कई', 'लाख', 'बार', 'देखा', 'जा', 'चुका', 'है']"
( ख) यीशु पर सब्त का नियम तोड़ने का इलज़ाम क्यों लगाया जाता है?,"['(', 'ख)', 'यीशु', 'पर', 'सब्त', 'का', 'नियम', 'तोड़ने', 'का', 'इलज़ाम', 'क्यों', 'लगाया', 'जाता', 'है?']"
स्कूली बच्चों को इससे भारी परेशानी का सामना करना पड़ रहा है।,"['स्कूली', 'बच्चों', 'को', 'इससे', 'भारी', 'परेशानी', 'का', 'सामना', 'करना', 'पड़', 'रहा', 'है।']"
इस फिल्म के साथ जुड़ना मेरे लिए गर्व की बात है,"['इस', 'फिल्म', 'के', 'साथ', 'जुड़ना', 'मेरे', 'लिए', 'गर्व', 'की', 'बात', 'है']"
"इनमें से कोई भी चीज़ बनाने के लिए, पृथ्वी को छोड़ विश्‍व - मंडल के किसी और कोने से सामग्री लाने की ज़रूरत नहीं पड़ी ।","['इनमें', 'से', 'कोई', 'भी', 'चीज़', 'बनाने', 'के', 'लिए,', 'पृथ्वी', 'को', 'छोड़', 'विश्\u200dव', '-', 'मंडल', 'के', 'किसी', 'और', 'कोने', 'से', 'सामग्री', 'लाने', 'की', 'ज़रूरत', 'नहीं', 'पड़ी', '।']"
"श्वेता के पति अभिनव कोहली को बेल, पत्नी और सौतेली बेटी से बदतमीजी का आरोप","['श्वेता', 'के', 'पति', 'अभिनव', 'कोहली', 'को', 'बेल,', 'पत्नी', 'और', 'सौतेली', 'बेटी', 'से', 'बदतमीजी', 'का', 'आरोप']"
कुछ ऐसे भी हैं जो परमेश्‍वर को जिन्‍न समझते हैं जिसे हुक्म दो और झट - से मुराद पूरी हो जाए ।,"['कुछ', 'ऐसे', 'भी', 'हैं', 'जो', 'परमेश्\u200dवर', 'को', 'जिन्\u200dन', 'समझते', 'हैं', 'जिसे', 'हुक्म', 'दो', 'और', 'झट', '-', 'से', 'मुराद', 'पूरी', 'हो', 'जाए', '।']"
पीड़ित ने इसकी शिकायत कोतवाली पुलिस से की है।,"['पीड़ित', 'ने', 'इसकी', 'शिकायत', 'कोतवाली', 'पुलिस', 'से', 'की', 'है।']"
उसी ने इसे पकड़कर अस्पताल में भर्ती कराया।,"['उसी', 'ने', 'इसे', 'पकड़कर', 'अस्पताल', 'में', 'भर्ती', 'कराया।']"
संस्था की तरफ से अतिथियों को सम्मानित किया गया।,"['संस्था', 'की', 'तरफ', 'से', 'अतिथियों', 'को', 'सम्मानित', 'किया', 'गया।']"
बता दें कि मामले में कार्रवाई करते हुए पुलिस ने आरोपी कार चालक के खिलाफ मामला दर्ज कर लिया है।,"['बता', 'दें', 'कि', 'मामले', 'में', 'कार्रवाई', 'करते', 'हुए', 'पुलिस', 'ने', 'आरोपी', 'कार', 'चालक', 'के', 'खिलाफ', 'मामला', 'दर्ज', 'कर', 'लिया', 'है।']"
सोचिए आप क्या करते अगर आप इस्राएल के दस - गोत्र के राज्य में रह रहे होते ।,"['सोचिए', 'आप', 'क्या', 'करते', 'अगर', 'आप', 'इस्राएल', 'के', 'दस', '-', 'गोत्र', 'के', 'राज्य', 'में', 'रह', 'रहे', 'होते', '।']"
इन पर भी एक्सटॉर्शन का मुकदमा राजपुर थाने में दर्ज है,"['इन', 'पर', 'भी', 'एक्सटॉर्शन', 'का', 'मुकदमा', 'राजपुर', 'थाने', 'में', 'दर्ज', 'है']"
हादसे की कॉल मिलने पर पुलिस मौके पर पहुंची।,"['हादसे', 'की', 'कॉल', 'मिलने', 'पर', 'पुलिस', 'मौके', 'पर', 'पहुंची।']"
सुलैमान के मंदिर की वेदी लगभग 30 वर्ग फुट की थी ।,"['सुलैमान', 'के', 'मंदिर', 'की', 'वेदी', 'लगभग', '30', 'वर्ग', 'फुट', 'की', 'थी', '।']"
भाजपा ने भी इस विषय को लोकसभा में उठाया है।,"['भाजपा', 'ने', 'भी', 'इस', 'विषय', 'को', 'लोकसभा', 'में', 'उठाया', 'है।']"
"एक अनुमान के अनुसार, करीब पांच लाख सिख अमेरिका में रहते हैं।","['एक', 'अनुमान', 'के', 'अनुसार,', 'करीब', 'पांच', 'लाख', 'सिख', 'अमेरिका', 'में', 'रहते', 'हैं।']"
